Name,Gaul_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Sudan,6,0,0,0,0,0.0011,0.0033,0.0075,0.0068,0.0079,0.0056,0.0052,0.0056,0.0053,0.0043,0.0055,0.0097
Angola,8,0,0,0,0,0.0027,0.0069,0.016,0.176,0.365,0.4281,0.2789,0.217,0.2012,0.1509,0.1851,0.3256
Benin,29,0,0,0,0,0.0017,0.0032,0.004,0.0235,0.0553,0.1364,0.126,0.123,0.1433,0.1561,0.195,0.0709
Botswana,35,0,0,0,0,0.0004,0.0011,0.0016,0.0007,0.0027,0.0024,0.0016,0.0006,0.0003,0.0002,0,0.0006
Burkina Faso,42,0,0,0,0,0,0.0005,0.001,0.0023,0.0138,0.0296,0.087,0.0509,0.0489,0.0478,0.013,0.0991
Burundi,43,0,0,0,0,0.0107,0.031,0.0206,0.0414,0.0198,0.0404,0.12,0.0937,0.175,0.3562,0.1122,0.4169
Cameroon,45,0,0,0,0,0.0072,0.0337,0.026,0.0472,0.0441,0.0418,0.0405,0.061,0.0508,0.0462,0.0725,0.0633
Central African Republic,49,0,0,0,0,0.0083,0.0154,0.025,0.1181,0.1065,0.0535,0.03,0.026,0.0218,0.0159,0.0499,0.0103
Chad,50,0,0,0,0,0.0021,0.0041,0.0064,0.0083,0.0096,0.0101,0.01,0.0065,0.0098,0.0135,0.013,0.0104
Congo,59,0,0,0,0,0.0318,0.0532,0.0707,0.0849,0.0971,0.108,0.1215,0.142,0.1633,0.1579,0.1567,0.1567
Côte d'Ivoire,66,0,0,0,0,0.003,0.0059,0.01,0.0103,0.0145,0.0178,0.0223,0.03,0.0294,0.0289,0.0324,0.0326
Democratic Republic of the Congo,68,0,0,0,0,0.0018,0.0035,0.0048,0.006,0.0065,0.0188,0.017,0.0646,0.0629,0.056,0.1653,0.1559
Djibouti,70,0,0,0,0,0,0.0006,0.0015,0.0021,0.002,0.0022,0.002,0.0016,0.0009,0,0,0
South Sudan,74,0,0,0,0,0.002,0.0066,0.0145,0.0234,0.0316,0.0371,0.0417,0.0512,0.0689,0.0393,0.0201,0.0602
Equatorial Guinea,76,0,0,0,0,0.0299,0.0497,0.0642,0.0697,0.1026,0.1409,0.1396,0.146,0.1652,0.1641,0.1718,0.1973
Eritrea,77,0,0,0,0,0.0016,0.0025,0.0036,0.0047,0.006,0.0087,0.0117,0.0094,0.0098,0.0089,0.0076,0.0121
Ethiopia,79,0,0,0,0,0.0075,0.0231,0.0496,0.045,0.0938,0.1092,0.1297,0.096,0.1423,0.1414,0.0734,0.2024
Gabon,89,0,0,0,0,0.005,0.0211,0.0808,0.1263,0.0919,0.0483,0.0015,0.1128,0.088,0.0683,0.0478,0.0492
Gambia,90,0,0,0,0,0,0.001,0.0376,0.1085,0.215,0.356,0.194,0.2578,0.2099,0.1931,0.208,0.4182
Ghana,94,0,0,0,0,0.0061,0.016,0.044,0.0303,0.215,0.0556,0.069,0.182,0.0342,0.0824,0.1497,0.1861
Guinea-Bissau,105,0,0,0,0,0.0007,0.0021,0.004,0.0054,0.0061,0.0161,0.0104,0.0077,0.0055,0.0032,0,0
Guinea,106,0,0,0,0,0.0027,0.0065,0.0122,0.0186,0.0259,0.0348,0.0121,0.0138,0.014,0.0226,0.0333,0.0291
Kenya,133,0,0,0,0,0.0019,0.0041,0.0272,0.066,0.078,0.1242,0.18,0.1429,0.0963,0.0437,0.0698,0.0791
Liberia,144,0,0,0,0,0.0025,0.0097,0.032,0.089,0.2112,0.299,0.397,0.239,0.1653,0.0648,0.4167,0.6063
